city_id,run_date,n_panos,n_quality,q_p10,q_p25,q_p50,q_p75,q_p90,pct_ge_good,pct_lt_poor,n_sequences,n_seq_mixed_foot,n_seq_mixed_org,seq_q_p25,seq_q_p50,seq_q_p75,n_foot_known,n_panos_on_foot,pct_on_foot,q_p50_on_foot,q_p50_vehicle,n_seq_on_foot,n_seq_vehicle,seq_q_p50_on_foot,seq_q_p50_vehicle,n_with_org,n_distinct_orgs,q_p50_org,q_p50_no_org,n_seq_org,n_seq_no_org,seq_q_p50_org,seq_q_p50_no_org,pct_with_org
city-of-albany--new-york--united-states,2026-08-17,8974,8974,0.8033,0.819,0.837,0.856,0.871,1.2258,0.1114,6,0,0,0.8276,0.8305,0.8375,8974,1,0.0111,0.663,0.837,1,5,0.663,0.833,0,0,,0.837,0,6,,0.8305,0.0
city-of-niagara-falls--new-york--united-states,2026-08-17,14926,14926,0.761,0.815,0.841,0.866,0.885,3.0216,1.3265,31,0,0,0.746,0.814,0.8575,14926,2495,16.7158,0.768,0.849,15,16,0.756,0.8575,0,0,,0.841,0,31,,0.814,0.0
city-of-rye--new-york--united-states,2026-08-17,2567,2567,0.585,0.612,0.646,0.762,0.8644,1.2076,17.5691,21,0,0,0.621,0.7095,0.832,2567,1706,66.4589,0.623,0.828,10,11,0.618,0.832,0,0,,0.646,0,21,,0.7095,0.0
city-of-white-plains--new-york--united-states,2026-08-17,3279,3279,0.588,0.625,0.659,0.689,0.764,0.0,13.6932,28,0,0,0.6351,0.662,0.6905,3279,3070,93.6261,0.656,0.822,25,3,0.646,0.818,0,0,,0.659,0,28,,0.662,0.0
clayton--missouri--united-states,2026-08-17,135,135,0.87,0.8775,0.893,0.915,0.9246,43.7037,0.0,1,0,0,0.893,0.893,0.893,135,0,0.0,,0.893,0,1,,0.893,135,1,0.893,,1,0,0.893,,100.0
cle-elum--washington--united-states,2026-08-17,1537,1537,0.821,0.835,0.859,0.875,0.888,3.2531,0.0,5,0,0,0.835,0.866,0.869,1537,0,0.0,,0.859,0,5,,0.866,0,0,,0.859,0,5,,0.866,0.0
cleveland--ohio--united-states,2026-07-30,44080,44080,0.802,0.833,0.858,0.879,0.903,11.1887,0.2064,144,0,0,0.8356,0.8562,0.8872,44080,1043,2.3662,0.721,0.859,12,132,0.7167,0.862,8352,2,0.9,0.852,44,100,0.9093,0.8488,18.9474
clio--michigan--united-states,2026-07-30,2316,2316,0.7185,0.76,0.826,0.868,0.889,4.62,1.4249,12,0,0,0.7596,0.803,0.8468,2316,0,0.0,,0.826,0,12,,0.803,0,0,,0.826,0,12,,0.803,0.0
cocoa--florida--united-states,2026-07-30,4199,4199,0.843,0.858,0.875,0.89,0.901,11.4551,0.0,5,0,0,0.869,0.873,0.875,4199,0,0.0,,0.875,0,5,,0.873,0,0,,0.875,0,5,,0.873,0.0
college-place--washington--united-states,2026-07-30,21429,21429,0.831,0.855,0.872,0.885,0.896,6.1832,0.0,79,0,0,0.8625,0.871,0.878,21429,0,0.0,,0.872,0,79,,0.871,18200,1,0.872,0.87,64,15,0.8695,0.873,84.9316
